CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2;Passivo Total;1452266807.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2;Passivo Total;1693794003.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.01;Passivos Financeiros Avaliados ao Valor Justo através do Resultado;961636.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.01;Passivos Financeiros Avaliados ao Valor Justo através do Resultado;3098315.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.02;Passivos Financeiros ao Custo Amortizado;1272377717.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.02;Passivos Financeiros ao Custo Amortizado;1500172488.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.02.01;Depósitos;485002305.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.02.01;Depósitos;601984265.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.02.02;Captações no Mercado Aberto;404355327.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.02.02;Captações no Mercado Aberto;503722822.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.02.03;Recursos Mercado Interfinanceiro;29459001.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.02.03;Recursos Mercado Interfinanceiro;25945382.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.02.04;Outras Captações;353561084.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.02.04;Outras Captações;368520019.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.02.04.01;Obrigações por emissão de títulos e valores mobiliários e outras obrigações;301744568.0000000000;N
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.02.04.01;Obrigações por emissão de títulos e valores mobiliários e outras obrigações;298176293.0000000000;N
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.02.04.02;Outros passivos financeiros;51816516.0000000000;N
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.02.04.02;Outros passivos financeiros;70343726.0000000000;N
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.03;Provisões;13843096.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.03;Provisões;16894620.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.03.01;Provisões trabalhistas, fiscais e cíveis;12930747.0000000000;N
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.03.01;Provisões trabalhistas, fiscais e cíveis;14519222.0000000000;N
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.03.02;Provisões para perdas esperadas com garantias prestadas e compromissos de empréstimos;912349.0000000000;N
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.03.02;Provisões para perdas esperadas com garantias prestadas e compromissos de empréstimos;2375398.0000000000;N
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.04;Passivos Fiscais;5931522.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.04;Passivos Fiscais;6417506.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.05;Outros Passivos;49181457.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.05;Outros Passivos;39349790.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.06;Passivos sobre Ativos Não Correntes a Venda e Descontinuados;0.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.06;Passivos sobre Ativos Não Correntes a Venda e Descontinuados;0.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.06.01;Passivos sobre Ativos Não Correntes a Venda;0.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.06.01;Passivos sobre Ativos Não Correntes a Venda;0.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.06.02;Passivos sobre Ativos de Operações Descontinuadas;0.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.06.02;Passivos sobre Ativos de Operações Descontinuadas;0.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.07;Patrimônio Líquido Consolidado;109971379.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.07;Patrimônio Líquido Consolidado;127861284.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.07.01;Patrimônio Líquido Atribuído ao Controlador;107734738.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.07.01;Patrimônio Líquido Atribuído ao Controlador;125099772.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.07.01.01;Capital Social Realizado;75100000.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.07.01.01;Capital Social Realizado;98100023.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.07.01.02;Reservas de Capital;6253263.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.07.01.02;Reservas de Capital;6344966.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.07.01.02.01;Ágio na Emissão de Ações;0.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.07.01.02.01;Ágio na Emissão de Ações;0.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.07.01.02.02;Reserva Especial de Ágio na Incorporação;6592899.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.07.01.02.02;Reserva Especial de Ágio na Incorporação;6625608.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.07.01.02.03;Alienação de Bônus de Subscrição;0.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.07.01.02.03;Alienação de Bônus de Subscrição;0.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.07.01.02.04;Opções Outorgadas;0.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.07.01.02.04;Opções Outorgadas;0.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.07.01.02.05;Ações em Tesouraria;-339636.0000000000;S
