CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2019-01-01;2019-12-31;3.01;Receitas de Intermediação Financeira;128406187.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2020-01-01;2020-12-31;3.01;Receitas de Intermediação Financeira;121738381.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2019-01-01;2019-12-31;3.01.01;Operações de Crédito;79528165.0000000000;N
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2020-01-01;2020-12-31;3.01.01;Operações de Crédito;84021801.0000000000;N
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2019-01-01;2019-12-31;3.01.02;Operações de Arrendamento Mercantil;0.0000000000;N
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2020-01-01;2020-12-31;3.01.02;Operações de Arrendamento Mercantil;0.0000000000;N
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2019-01-01;2019-12-31;3.01.03;Resultado de Operações com TVM;44456630.0000000000;N
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2020-01-01;2020-12-31;3.01.03;Resultado de Operações com TVM;31856757.0000000000;N
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2019-01-01;2019-12-31;3.01.04;Resultado de IFD;433208.0000000000;N
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2020-01-01;2020-12-31;3.01.04;Resultado de IFD;3244271.0000000000;N
