CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;7.01;Receitas;108266628.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;7.01;Receitas;123853332.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;7.01.01;Intermediação Financeira;121738381.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;7.01.01;Intermediação Financeira;130254642.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;7.01.02;Prestação de Serviços;19230759.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;7.01.02;Prestação de Serviços;18986389.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;7.01.03;Provisão/Reversão de Perdas Esperadas ao Risco de Crédito;-25919228.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;7.01.03;Provisão/Reversão de Perdas Esperadas ao Risco de Crédito;-18385379.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;7.01.04;Outras;-6783284.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;7.01.04;Outras;-7002320.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;7.02;Despesas de Intermediação Financeira;-74817208.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;7.02;Despesas de Intermediação Financeira;-72472030.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;7.03;Insumos Adquiridos de Terceiros;-7501150.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;7.03;Insumos Adquiridos de Terceiros;-8325310.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;7.03.01;Materiais, Energia e Outros;-524198.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;7.03.01;Materiais, Energia e Outros;-526047.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;7.03.02;Serviços de Terceiros;-877477.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;7.03.02;Serviços de Terceiros;-990474.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;7.03.03;Perda/Recuperação de Valores Ativos;0.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;7.03.03;Perda/Recuperação de Valores Ativos;0.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;7.03.04;Outros;-6099475.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;7.03.04;Outros;-6808789.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;7.03.04.01;Comunicações;-653945.0000000000;N
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;7.03.04.01;Comunicações;-439934.0000000000;N
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;7.03.04.02;Processamento de Dados;-811600.0000000000;N
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;7.03.04.02;Processamento de Dados;-842501.0000000000;N
