CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2021-12-31;1;Ativo Total;1899340511.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2022-12-31;1;Ativo Total;2007727977.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2021-12-31;1.01;Caixa e Equivalentes de Caixa;54494681.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2022-12-31;1.01;Caixa e Equivalentes de Caixa;68826279.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2021-12-31;1.01.01;Caixa;18023001.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2022-12-31;1.01.01;Caixa;18310546.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2021-12-31;1.01.02;Aplicações de Liquidez;36471680.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2022-12-31;1.01.02;Aplicações de Liquidez;50515733.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2021-12-31;1.02;Ativos Financeiros;1700800619.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2022-12-31;1.02;Ativos Financeiros;1779357053.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2021-12-31;1.02.01;Depósito Compulsório Banco Central;75504036.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2022-12-31;1.02.01;Depósito Compulsório Banco Central;95119085.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2021-12-31;1.02.02;Ativos Financeiros Avaliados ao Valor Justo através do Resultado;11739070.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2022-12-31;1.02.02;Ativos Financeiros Avaliados ao Valor Justo através do Resultado;12078012.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2021-12-31;1.02.02.01;Títulos e Valores Mobiliários;9604035.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2022-12-31;1.02.02.01;Títulos e Valores Mobiliários;10439943.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2021-12-31;1.02.02.02;Derivativos;2135035.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2022-12-31;1.02.02.02;Derivativos;1638069.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2021-12-31;1.02.03;Ativos Financeiros Avaliados ao Valor Justo através de Outros Resultados Abrangentes;305490911.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2022-12-31;1.02.03;Ativos Financeiros Avaliados ao Valor Justo através de Outros Resultados Abrangentes;369770754.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2021-12-31;1.02.03.01;Títulos e Valores Mobiliários;305490911.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2022-12-31;1.02.03.01;Títulos e Valores Mobiliários;369770754.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2021-12-31;1.02.04;Ativos Financeiros ao Custo Amortizado;1308066602.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2022-12-31;1.02.04;Ativos Financeiros ao Custo Amortizado;1302389202.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2021-12-31;1.02.04.01;Aplicações em Depósitos Interfinanceiros;11800313.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2022-12-31;1.02.04.01;Aplicações em Depósitos Interfinanceiros;16199785.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2021-12-31;1.02.04.02;Aplicações no Mercado Aberto;482043522.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2022-12-31;1.02.04.02;Aplicações no Mercado Aberto;356512910.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2021-12-31;1.02.04.03;Títulos e Valores Mobiliários;33107809.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2022-12-31;1.02.04.03;Títulos e Valores Mobiliários;47996424.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2021-12-31;1.02.04.04;Operações de Crédito;734290606.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2022-12-31;1.02.04.04;Operações de Crédito;832938557.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2021-12-31;1.02.04.05;Provisão para Perdas Esperadas Associadas ao Risco de Crédito;0.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2022-12-31;1.02.04.05;Provisão para Perdas Esperadas Associadas ao Risco de Crédito;0.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2021-12-31;1.02.04.06;Operações de Arrendamento;0.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2022-12-31;1.02.04.06;Operações de Arrendamento;0.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2021-12-31;1.02.04.07;Provisão para Perdas Esperadas Associadas ao Risco de Crédito de Operações de Arrendamento;0.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2022-12-31;1.02.04.07;Provisão para Perdas Esperadas Associadas ao Risco de Crédito de Operações de Arrendamento;0.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2021-12-31;1.02.04.08;Outros Ativos Financeiros;46824352.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2022-12-31;1.02.04.08;Outros Ativos Financeiros;48741526.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2021-12-31;1.03;Tributos;65009496.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2022-12-31;1.03;Tributos;67241980.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2021-12-31;1.03.01;Imposto de Renda e Contribuição Social - Correntes;7345674.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2022-12-31;1.03.01;Imposto de Renda e Contribuição Social - Correntes;9914030.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2021-12-31;1.03.02;Imposto de Renda e Contribuição Social - Diferidos;57663822.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2022-12-31;1.03.02;Imposto de Renda e Contribuição Social - Diferidos;57327950.0000000000;S
