CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
00.000.000/0001-91;2025-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2024-12-31;1;Ativo Total;0.0000000000;S
00.000.000/0001-91;2025-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2025-12-31;1;Ativo Total;2414775306.0000000000;S
00.000.000/0001-91;2025-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2024-12-31;1.01;Caixa e Equivalentes de Caixa;0.0000000000;S
00.000.000/0001-91;2025-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2025-12-31;1.01;Caixa e Equivalentes de Caixa;58474875.0000000000;S
00.000.000/0001-91;2025-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2024-12-31;1.01.01;Caixa;0.0000000000;S
00.000.000/0001-91;2025-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2025-12-31;1.01.01;Caixa;17192762.0000000000;S
00.000.000/0001-91;2025-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2024-12-31;1.01.02;Aplicações de Liquidez;0.0000000000;S
00.000.000/0001-91;2025-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2025-12-31;1.01.02;Aplicações de Liquidez;41282113.0000000000;S
00.000.000/0001-91;2025-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2024-12-31;1.02;Ativos Financeiros;0.0000000000;S
00.000.000/0001-91;2025-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2025-12-31;1.02;Ativos Financeiros;2151398200.0000000000;S
00.000.000/0001-91;2025-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2024-12-31;1.02.01;Depósito Compulsório Banco Central;0.0000000000;S
